,date,id,owner_id,from_id,posts,comments,likes,reposts,views
20,2022-12-13 17:16:31,7980,-173708789,-173708789,"‼ 20 скидка самый популярный курс линейка школа трейдинг честь рождение компания ✅ курс максимум скальпинг стакан "" -  15 декабрь ✅ курс crypto интенсив "" -  23 декабрь ✅ курс полный погружение 2.0 "" ( авторский курс 22 декабрь откладывать обучение ждать самый выгодный условие самый учиться успевать воспользоваться специальный цена старт курс подробность программа обучение узнавать переходить ссылка пост 💯 ученик курс 14 бесплатный стажировка дилинг краснодар постоянный поддержка преподаватель дневник трейдер подарок пересылка город присоединяться начинать следующий новый знание навык трейдинг",0,23,3,1268.0
21,2022-12-13 18:07:41,5759,2651609,2651609,дизайн логотип crypto hype olegshatrov olegshatrovstudio олегшатер студияолегашатров дизайнлоготип,0,3,0,67.0
22,2022-12-13 18:01:59,510,-207053421,-207053421,"⚡ ️crypto future 2022 8 9 декабрь проходить финальный конференция 2022 криптовалюта 🔥 2 разбирать информация ‼ ️nft web3 фундаментальный анализ венчурный инвестиция метавселять трейдинг майнинг инвестиция юридический часть криптовалюта многий новый знакомство партнерство общение результат конференция нетворкинг 🤝 🏻 🤩 благодарить участник конференция приезжать мероприятие 🤩 благодарить спикер подробный погружение тема выступление давать встречаться запланировать следующий конференция москва состояться 13 14 апрель 2023 список спикер расширять близкий возможность присоединяться стартовый цена 🔥 четверг стоимость категория участие вырастать записываться конференция ⤵ ️
",0,1,0,46.0
23,2022-12-13 19:46:00,2433,-216505061,-216505061,"ведущий криптоаналитик предсказывать ethereum значительно превосходить биткойн 2023 криптовалютный стратег правильно предсказывать дно биткойный btc 2018 говорить ethereum eth начинать эпический ралли следующий путь становиться крупный цифровой актив рыночный капитализация псевдонимный аналитик smart contracter сообщать свой 216 700 подписчик твиттер ожидать пара eth btc взлетать уровень невиданный « бычий график eth btc предполагать ethereum вероятно приносить большой прибыль биткойн eth btc достигать 0 062 btc квартал 2023 кричать покупка сделка нетерпение ждать следующий определенно занимать месяц » smart contracter опираться теория волна эллиотт подход технический анализ пытаться предсказывать будущее поведение цена следовать психология толпа тенденция проявляться волна согласно график аналитик видеть рост eth btc высоко 0 09 btc 1544 доллар сша март 2023 уровень цена последний наблюдаться январь 2018 smart contracter говорить мнение ethereum узурпировать биткойн следующий бычий рынок становиться крупный криптовалюта рыночный капитализация « eth находиться многолетний восходить тренд определенно увидеть перевертывать btc следующий цикл » краткосрочный перспектива smart contracter прогнозировать ethereum преодолевать сопротивление 1300 доллар криптовалютный аналитик внимательно следить сеть одноранговый платеж litecoin ltc ),  слово настоящий торговаться рамка бычий модель продолжение пары usd btc « btc eth вернуться ltc связь восстановление структура ltc btc выглядеть бычий флаг восходящий тренд график поэтому подозревать следующий этап рост превосходить btc » продолжение первоисточник eth btc ltc",0,1,0,5.0
24,2022-12-13 19:30:00,32964,-152194961,-152194961,бумажный несуществующий ончейн биткоин сдерживать цена номинировать доллар сша краткосрочный перспектива фактически продавать биткоин существовать бумажный баланс биржа всякий ftx crypto com binance nexo kucoin платформа работать банка частичный резервирование обанкротиться разваливаться биткоин находить свой настоящий цена,0,3,0,170.0
25,2022-12-13 21:59:58,1,-214419677,-214419677,volt inu volt ) —  гипердефляционный токен цель являться инвестирование класс актив nft узел альткойный стейкинг фарминг стейблкоин инвестиционный разнообразие позволять снижать риск использовать возможный некоррелированный рост трендовый актив поскольку volt задумывать гипердефляционный токен прибыль получать казначейский инвестиция использоваться выкуп сжигание токен volt дополнение дефляционный механизм volt внедрять автоматический налог сжигание размер 2 eth автоматический налог сжигание размер 4 bsc слияние механизм гарантировать постоянный повышение минимальный цена счет уменьшение оборотный предложение подробно официальный сайт ⚡ ⚡ ⚡ ⤵,0,1,0,19.0
26,2022-12-13 22:53:25,8,-181856034,-181856034,забирать свой crypto 🤑 1.000 000 qdt ждать свой обладатель бот 🎇 🎁 бонус доступный 8 час позволять получать пассивный доход криптовалюта 🤝 приглашение друг позволять зарабатывать благодаря реферальный программа 🎁 различный конкурс активность позволять разбираться крипта подзарабатывать токен различный криптопроект ✅ переходить бот забирать свой монета прямо 🤖,0,1,1,18.0
27,2022-12-13 23:49:35,68,-215651309,-215651309,блокчейн decimalchain готовиться масштабный обновление переходить сеть dsc decimal smart chain транзакция консоль переставать работать штатный режим главный сеть отключать 7 48 час паника 🤚 средство сбережение оставаться прежде ждать дальнейший новость уважение команда crypto gorilla,0,3,0,27.0
28,2022-12-13 00:46:12,4217,620286165,620286165,"вчера гулять район сдавать очки ремонт делать фото заявка военком зайти торговый центр ко подходить чело умолять деньги специальный питание ребенок болезнь тип пиздец бедный позволять ебучий микрозаем взять умолять молиться бог семья жить счастливый обещать бог увидеть помогать помощь возвращаться бумеранг "" –  шаблонный фраза многие попрошайка земля миллион хуй понимать наебщик нуждаться помощь смотреть банк  –  200 рубасик лежать ладно надеяться пиздеть перечислять 200 мб повезти объяснять исход сторона плюс проебывать 200 рубль оказываться откладывать вернуть долг лохануться постоянно говорить бог считать бог тупой выдумка веровать ниховать делать надеяться хороший случаться участие окончательно выбрасывать оставаться надеяться форма представление высшых существо столько язык принцип язык похожий  –  разбирать китайский знать английский русский китаец разговаривать свой язык раздражать приебаться ко говорить свой эльфийский говорить русски блять говорить понимать понимать друг друг доносить логический знак создание китайский язык существовать существовать единый язык мыслить свой польза думать действовать свой польза использовать бог наебывать ахуенно скаманула момент подумать бог узнавать подарить деньги ребенок пиздатый актер стаж ладно пойти понедельник 12 декабрь бог никак изменяться очередной скучный старшеклассник проебывать деньги геншин повезти крутка 3 полететь повезти блять сильно везти якобы высокий существо помогать удача основывать теория вероятность статистика бог создавать мертвый мертвый существовать мир самый хороший теория загробный берсерка остальное тупой выдумка выдумка манипулировать использовать остаток назначение  –  неплозый наебывать верить хороший повезти крестить купить золотой крестик чей цена косарь 15 себестоимость крестик косарь 5 золото самый вышивать проба дорогой святой деревянный блять крест стоять 500 рубль настоящий икона 1500 минимум полный хуетень сидеть ниховать делать отдавать церковь деньги хороший аххааххахааха бляяяяяять ...... мусорный пакетик стоять 10 копейка мусорный пакетик святой сотка ... сильно напоминать musor pakketue stone island nike lv 10000000091 рубль блять помогать удача бог верить чудо посмотреть зажраться патриарх болт класть клянчить деньги продавать свой крестик нахуй нужный новый телефон смочь купить вложиться крипта",0,1,0,32.0
29,2022-12-13 00:30:00,8562,7749721,7749721,"47 й обзор фильм 2022 премьера происходить происходить россия 2022 обзор представлять личный мнение совпадать понравиться понравиться наоборот !!. вещать короче происходить экран смысл фильм копаться !!! стараться ведать короткий опускать нюанс сюжет создавать атмосфера кинец любой фильм свой зритель смотреть решать ненормативный лексика ведать метка black warrant ""- сша боевик россия премьер 9 февраль 2023 узнавать актер фильм сниматься беренджер джефф фейи кэм жиганд ебачи узнавать усрачки сюжет :"" сотрудник обна убивать напарник момент анб просить мужик пенсия выполнять работа конкретно убирать трое говнюк купить хуевина отключать свет город случаться агент обна выходить след убийца напарник связывать гандон дед двое убирать агент заподозривать дед всякий событие оказываться отец вынуждать особый причина оставлять детство дед бабка короче происходить всякий событие объединяться поймать последний говнюк выясняться убивать жена мать двое 20 убийца напарник сдавать мусор гондон пристрелить слово картинка хороший актер играть место интриговать место динамичный смотреться легко неплохой кинец понравиться тролль troll ""- норвегия боевик фэнтэзи россия премьера сюжет :"" отец дочь лазать гора вершина папик дочка поведывать тролль думать сказка проходить 20 горе горняк рубить тоннель очередной взрыв что-то пробуждаться расхуячить дочка тетка трудиться археолог вызывать специалист правительство дабы выяснять хуйня происходить ехать отец из-за одержимость тролль считать ебанутый обнаруживать настоящий тролль происходить всякий событие понимать тролль пиздувать осло королевский дворец оказываться дворец построить эпоха расцвет христианство дом тролль какой-то царский кровь ),  идти домой армия устраивать засада расхуячить ебень отец тетка погибать происходить разный событие тетка помощник премьер-министр вояка заманивать тролль освещать свет тролль бояться свет ),  тетка убивать попросить уходить тролль решать умирать племя погибать оставаться )"" вкрац картинка высоко средний актер играть нормально хороший спец эффект интриговать динамика последовательный смотреться легко весьма годный кинец понравиться незнакомец stranger ""- австралия криминал триллер драма россия премьера снимать кинец 2020 премьера мир происходить 20.05 2022 .. узнавать актер фильм сниматься джоэл эдгертон  ("" банда келли 2003 , "" зв эпизод 2 атака клон эпизод 3 месть ситх 2002 2005 , "" король 2004 , "" козырной туз 2007 др ),  шон харис  ("" миссия невыпоним последствие миссия невыполнимый племя изгой 2018 2015 , "" прометей 2012 , "" король англия 2019 , "" макбет 2015 др основывать реальный событие сюжет :"" копа прикрытие коннектиться мужик вводить преступный организация заниматься фальшивый дока мужик подозревать убийство ребенок хуй знать поймать никак всякий событие мужик начинать считать копа свой друг короче таки раскручивать признание подробность картинка высокий средний актер играть заебись интриговать динамика смотреться 50 50 фильм тягомотный вызывать желание досматривать конец звать месть il mio nome è vendetta ""- италия боевик криминал драма россия премьера узнавать актер фильм сниматься ремо джирон  ("" ford ferrari 2019 , "" рай 2001 , "" закон ночь 2016 , "" голос камень 2016 др сюжет :"" дядька безмятежно жить свой семья поехать дочь джип пошароебиться лес дочка захотеть сфоткать получать решительный отказ ровно втихаря сфоткать фотка размещать соц сеть фото увидеть чувак мафиозный семья искать мужик работа наведываться домой убивать жена дочка удаваться съебнуть искать член мафиозный семья убивать сын пахан вражеский клан прибытие домой мужик расстраиваться находить пребывать ахуй дочь пускаться съебка какой-то забросить дом оставлять дочь попиздюхать выяснять ебань твориться датский королевство дочка звонить пизда ровно позвонить свой ебарь выслеживать приезжать ебарь погоня минус ебарь папик успевать спасать дочь выяснять убивать открывать охота говнюк похищать сын пахан оставлять дочь охранять пойти дом пахан включая пахан захуяривать подоспевать спецназ убивать папаша сын пахан освобождать дочка дядька тип война заканчивать втихаря приказывать убивать дочка поверять приходить работа зарезать подробность картинка высокий средний актер играть интриговать динамичный смотреться легко неплохой боевик понравиться деинфлюенсер deinfluencer ""- канада триллер россия премьера сюжет :"" чувак словить инстаграмщица тиранить предмет тип набирать 1000 лайков 1 ч свой фотка отпускать начало выебыватся чело вырубать тип отрезать палец позговорчивый вырезать тип почка чувак цель показывать настоящий искусственный фотка тип инфлюенсер деинфлюенсер дочь фанатка какой-то инфлюенсерша инфлюенсерша обсирать 6 )-  покончить апосль притаскивать деваха начинать вещать телка искать девка наебывать лайка убивать подруга короче всячески заставлять собирать лайка появляться баба убивать инфлюенсерша полный охуение выбираться оставлять переписываться смарт час коп общий конец оказываться наебалов мужик никто убивать якобы убиенный заодно добиваться признавать соц сеть гавно набирать армия деинфлюенсер дабы разъяснять молодежь виртуальный хуета реальный предлагать присоединяться вызывать мусор медик баба сдавать принимать предложение заставлять вкрац картинка нормальный актер играть нормально поначалу интриговать предсказуемый динамика ровный смотреться легко детектив найт искупдение detective knight redemption ""- сша боевик триллер россия премьера узнавать актер фильм сниматься брюс уиллис локлин монро корь лардж пол йоханссон  ("" теория соблазн 2004 , "" крипто 2019 , "" джон кью 2002 , "" святой бундок 2 святой 2009 др кинец детектив 38 обзор детектив найт мерзавец отступник "") сюжет :"" детектив событие фильм посадить нары напарник выживать инвалидный кресло найт сидеть тюрьма гонять 1 ом фильм тюремный капеллан прошлое спецназовец решать подымать бунт зона найт предлагать словить мудак взамен восстановление ряд полиция отмена заключение капеллан подымать бунт съебнуть тюрьма становиться кошмарить банка клиент свой очередь становиться свозить свой бабло тип надежный банк хуй атаковать надежный банк грабеж являться детектив захуяривать подробность картинка средний актер играть годный предсказуемый динамика последовательный смотреться легко вполне годный продолжение кин фильм детектив 2023 ветеран renegades ""- англия боевик криминал триллер россия премьера узнавать актер фильм сниматься денни трэхо майкл пара луис мэндилора  « тайни »  листер мл мэйджорс  ("" тропа война 2004 , "" норманн 1978 , "" мушкетер навсегда 1998 , "" основной подозреваемый 2000 др ),  пэтси кензит  ("" смертельный оружие 2 1989 , "" смертельный круиз 1990 , "" плохой карма 2001 , "" сыграть 2006 др ),  ник моран  ("" бугимэн 2018 , "" гарри поттер дар смерть часть1 2 2010 2011 , "" мушкетер 2001 , "" великий ограбление поезд 2013 др ),  билли мюррей  ("" парень эссекс 1999 , "" восхождение пехотинец 1 3 2007 2017 , "" узник 2012 , "" мрачный тень 2010 др ),  майкл брэндон  ("" детонатор 2006 , "" мститель 2011 , "" хокинг 2004 , "" пропадать ночь 1996 др ),  др узнавать аглицкий еблета сюжет :"" лондон орудовать весьма жестокий преступный организация убивать генерал отставка друг прошлое крутой вояка служить ныне старый пердун решать находить пидарас отомщать смерть командир начинать хуячить петушня мусор поначалу отдуплять стоять вроде врубаться короче захуячить пахан организация заманивать последний свой бар приезжать мусор нападывать защищаться подробность картинка средний актер играть место интриговать динамичный смотреться легко скрываться стена lies behind walls ""- сша триллер россия премьера фильм телек сюжет :"" молодой писательница заезжать новый квартира прошлый сестра здорово напугать какой-то хуй маска залезать дом кошмарить сестра вроде жить провожать свой ебарь писательница случайно познакомиться какой-то селезень начинать встречаться хуй рассказывать история квартира тип легенда становиться происходить странный вещь квартира оказываться селезень часть легенда вырастать дом отец захотеть продавать квартира убивать сбросить забросить шахта дом проникать квартира ходить писательница дома благодаря тайный ход стена писательница просекать тайный ход находить жилище хуй отдуплить раскрывать взять плен сестра момент припираться домой апосль пиздабольство всякий сопливый ахинея удаваться сбросить мудак шахта сбросить свой отец приезжать мусор шахта находить отец находить слово картинка хороший актер играть нормально место интриговать динамика ток конец кин смотреться легко королевство динозавр kingdom dinosaurs ""- англия фантастика приключение россия премьера пара тройка узнаваемый персонаж сюжет :"" биолаб что-то химичить динозавр начинаться 3 мировой война динозавр съебнуть группа заныкаться бункер становиться заканчиваться лекарство жратва решать выходить свет божий поиск харч связь плохой мудак выходить наружу связываться бункер проникать динозавр отправляться харчи встречать группа решать объединяться народ попиздюхать поиск жратва нарываться тиранозавр захавать бункер всякий беготня охуевание сжирать короткий выживать встречаться ворота бункер притаскивать хвост тиранозавр велоцераптор тиранозавр сжирать велоцераптор уходить выживать мудачье связываться рация направлять помощь подробность картинка средний актер стараться спец эффект .. предсказуемый динамичный смотреться легко дешевый одноразовый кинец настроение зубной фея 4 возрождение toothfairy 4 reborn ""- сша россия премьера сюжет :"" сюжет банальный кучка телка чувак приезжать дом отдыхать приебаться зубной фея начало хуячить предмет зуб проситься хороший впускать дом дипломатичный посылать хуй приходиться дом лезть плохой общий ничто новый вкрац картинка средний актер стараться предсказуемый динамика прямой ебать мать посмотреть забывать приятный просмотр ссылка предыдущий обзор фильм 2022 ссылка последний обзор фильм 2021 конец обзор 54 любой ссылка ссылка фильм 2020 53 ссылка 2019 34 обзор ),  2018 35 обзор",0,1,0,124.0
30,2022-12-13 00:27:44,385,-208622269,-208622269,"12.12 2022 воздерживаться 12 1 прочитывать 51 страница книга  « финансист »
 2 помогать мама 3 подумать менеджмент крипта 4 посмотреть половина фильм  « секрет »
 5 помечтать 6 посмотреть свой дневник 7 промониторить рынок 8 посмотреть новость крипта 9 пополоскать горло 10 пообедать 11 съездить ивацевичи 12 поиграть брат шахматы 13 расслабляться поиграть игра 14 посмотреть видео трейдинг 15 послушать музыка 16 заказывать колонка 17 попить чай 18 посмотреть развлекательный ютуб 19 выпивать витамин 20 помогать брат 21 подумать свой др 22 попить вечер чай тишина 23 подумать будущее 24 сделать чай брат 25 позжравлять одноклассник др 26 сходить магазин 27 помогать приготавливать яблоко 28 сделать кофе",0,1,0,2.0
